ROI 試算表：節省金額 × 定價 × 客戶回本（每產線）,,,,,
注意：輸入區所有數字都是「假設值，訪談後替換」；token 數為實測值；Gemini 單價、匯率、GCP 月費「待估算」先填 0；金額單位 TWD,,,,,
項目,保守,基準,樂觀,單位,來源／訪談題（詳見 roi-model.md）
【輸入區】假設值，訪談後替換,,,,,
每月異常次數（每產線）,4,8,15,次/月,Q1 假設值，訪談後替換
現況每次調查時間,30,40,60,分鐘,Q2 假設值，訪談後替換
導入後每次調查時間,15,5,2,分鐘,產品實測：約 12 秒 = 0.2 分鐘（中位數 12.6 秒，gemini-2.5-flash，docs/qa/runs）；現場含操作時間仍屬假設
每小時停線損失,10000,30000,50000,TWD/小時,Q3 假設值，訪談後替換
歸因比例（停線時間中屬於找原因的比例）,0.3,0.5,0.7,0~1,Q4 假設值，訪談後替換
參與調查人數,1,2,3,人,Q5 假設值，訪談後替換
人力時薪,250,300,400,TWD/小時,Q6 假設值，訪談後替換
價值抽成比例,0.1,0.15,0.2,0~1,我方定價決策 假設值（建議 10%~20%）
導入工時,10,5,3,天,Q7 資料整理程度 假設值，訪談後替換
日費率,8000,8000,8000,TWD/天,我方定價決策 假設值
每次調查輸入 token,15710,10698,5686,token/次,實測中位數 gemini-2.5-flash（docs/qa/runs/README.md）：保守取 R01 與 N01 較大者（N01）、基準取兩者平均、樂觀取較小者（R01）
每次調查輸出 token,284,281,277,token/次,實測中位數：保守 R01、基準平均（四捨五入）、樂觀 N01
每次調查 thinking token,1749,1536,1323,token/次,實測中位數：保守 R01、基準平均、樂觀 N01；thinking 以輸出價計
Gemini 輸入單價,0,0,0,USD/百萬 token,待估算：依 Vertex AI 官方價目表填入（gemini-2.5-flash 輸入價）
Gemini 輸出單價,0,0,0,USD/百萬 token,待估算：依 Vertex AI 官方價目表填入，thinking 以輸出價計
匯率,0,0,0,TWD/USD,待估算：填入查價當日匯率
每次調查 Gemini 費用,=(B15*B18+(B16+B17)*B19)/1000000*B20,=(C15*C18+(C16+C17)*C19)/1000000*C20,=(D15*D18+(D16+D17)*D19)/1000000*D20,TWD/次,公式自動算（輸入 token × 輸入價 ＋（輸出＋thinking）token × 輸出價）÷ 1000000 × 匯率；勿手動改
GCP 固定月費（每產線分攤）,0,0,0,TWD/月,待估算：Cloud Run（平時 min 0；10/17 起 min 1 常駐）＋ Artifact Registry ＋ Secret Manager ＋ Logging；BigQuery 已砍不計；試用抵免額約 US$381（到期日待老闆查），毛利仍以原價計
客戶願付月費（訪談原話）,0,0,0,TWD/月,Q8 未問到填 0
,,,,,
【計算區】公式自動計算，請勿手動修改,,,,,
每次省下小時,=(B6-B7)/60,=(C6-C7)/60,=(D6-D7)/60,小時/次,(現況−導入後)/60
每月停線損失節省,=B5*B26*B8*B9,=C5*C26*C8*C9,=D5*D26*D8*D9,TWD/月,次數 × 省下小時 × 停線損失 × 歸因比例
每月人力節省,=B5*B26*B10*B11,=C5*C26*C10*C11,=D5*D26*D10*D11,TWD/月,次數 × 省下小時 × 人數 × 時薪
每月總節省,=B27+B28,=C27+C28,=D27+D28,TWD/月,停線節省 + 人力節省
月訂閱建議,=B29*B12,=C29*C12,=D29*D12,TWD/月,總節省 × 抽成比例
導入費,=B13*B14,=C13*C14,=D13*D14,TWD（一次）,導入工時 × 日費率
我方每月成本,=B21*B5+B22,=C21*C5+C22,=D21*D5+D22,TWD/月,Gemini 單次費用 × 次數 + GCP 固定月費（單價與月費待估算）
我方每月毛利,=B30-B32,=C30-C32,=D30-D32,TWD/月,月訂閱 − 我方成本
我方毛利率,=B33/B30,=C33/C30,=D33/D30,%,毛利 ÷ 月訂閱（成本填 0 時會是 100%，不可信）
客戶每月淨節省,=B29-B30,=C29-C30,=D29-D30,TWD/月,總節省 − 月訂閱
客戶回本月數,=B31/B35,=C31/C35,=D31/D35,月,導入費 ÷ 客戶每月淨節省
客戶首年淨效益,=B35*12-B31,=C35*12-C31,=D35*12-D31,TWD,淨節省 × 12 − 導入費
願付月費 ÷ 月訂閱建議,=B23/B30,=C23/C30,=D23/D30,倍,小於 1 表示建議價高於客戶願付；Q8 未填時為 0
